"","x"
"1","DSP"
"2","SHROOM3"
"3","SPINT2"
"4","EPPK1"
"5","SSH3"
"6","KLC3"
"7","SERINC2"
"8","MPZL2"
"9","EPB41L5"
"10","EPCAM"
"11","CDH1"
"12","SH3YL1"
"13","TJP3"
"14","INADL"
"15","TMEM45B"
"16","BSPRY"
"17","MPP7"
"18","MUC1"
"19","CLDN4"
"20","KRT19"
"21","EVPL"
"22","ITGB6"
"23","SCNN1A"
"24","GPR56"
"25","TC2N"
"26","ANKRD22"
"27","PRSS22"
"28","GRHL1"
"29","GRHL2"
"30","PRSS8"
"31","TMEM30B"
"32","TMC4"
"33","TMEM125"
"34","C1orf172"
"35","ESRP1"
"36","CLDN7"
"37","EPN3"
"38","FXYD3"
"39","S100A14"
"40","KRTCAP3"
"41","CRB3"
"42","ELMO3"
"43","ERBB3"
"44","C1orf116"
"45","GALNT3"
"46","STAP2"
"47","F11R"
"48","CDH3"
"49","TACSTD2"
"50","GPR110"
"51","RAB25"
"52","AP1M2"
"53","CDS1"
"54","MAL2"
"55","EPHA1"
"56","MAPK13"
"57","ENPP5"
"58","ST14"
